stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,drugs_related_stop,year
2006-01-08,2023-09-14 20:35:00,M,84,White,Speeding,False,Citation,False,False,2006
2006-04-09,2023-09-14 20:55:00,F,84,White,Speeding,False,Citation,False,False,2006
2006-05-10,2023-09-14 08:40:00,F,84,White,Speeding,False,Citation,False,False,2006
2006-06-01,2023-09-14 18:15:00,M,84,White,Speeding,False,Citation,False,False,2006
2006-06-11,2023-09-14 13:59:00,M,84,White,Speeding,False,Citation,False,False,2006
2006-07-16,2023-09-14 14:44:00,M,84,White,Speeding,False,Citation,False,False,2006
2006-08-19,2023-09-14 23:25:00,F,84,White,Speeding,False,Citation,False,False,2006
2006-09-08,2023-09-14 02:15:00,M,84,Black,Speeding,False,Citation,False,False,2006
2006-09-19,2023-09-14 12:00:00,F,84,White,Speeding,False,Citation,False,False,2006
2006-10-04,2023-09-14 23:05:00,M,84,White,Speeding,False,Citation,False,False,2006
2006-11-06,2023-09-14 11:35:00,M,84,White,Speeding,False,Citation,False,False,2006
2006-12-11,2023-09-14 16:50:00,F,84,Black,Speeding,False,Citation,False,False,2006
2007-01-04,2023-09-14 17:20:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-01-08,2023-09-14 13:05:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-03-06,2023-09-14 23:00:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-04-15,2023-09-14 10:15:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-05-06,2023-09-14 17:50:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-05-14,2023-09-14 18:58:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-05-23,2023-09-14 22:48:00,M,84,Black,Speeding,False,Citation,False,False,2007
2007-06-14,2023-09-14 12:00:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-06-18,2023-09-14 06:15:00,M,84,Black,Speeding,True,Citation,False,False,2007
2007-08-18,2023-09-14 20:30:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-09-17,2023-09-14 16:47:00,M,84,White,Speeding,False,Citation,False,False,2007
2007-09-27,2023-09-14 12:14:00,M,84,White,Speeding,False,Citation,False,False,2007
2008-06-03,2023-09-14 09:34:00,M,84,White,Speeding,False,Citation,False,False,2008
2008-07-05,2023-09-14 15:28:00,M,84,White,Speeding,False,Citation,False,False,2008
2008-09-05,2023-09-14 08:20:00,F,84,White,Speeding,False,Citation,False,False,2008
2008-11-24,2023-09-14 19:47:00,M,84,White,Speeding,False,Citation,False,False,2008
2008-12-07,2023-09-14 14:13:00,M,84,Hispanic,Speeding,False,Citation,False,False,2008
